TEACHING ASSIGNMENTS: INSTRUCTORS TO COURSES BY TERM,,,,,,,,,,
,,,,,,,,,,
FALL2021,,,,SUMMER2021,,14,,SPRING2021,,14
ds_tech_bootcamp,ds tech bootcamp,Pete Alonzi,,ds_tech_bootcamp,ds tech bootcamp,Pete Alonzi,,ds_tech_bootcamp,ds tech bootcamp,Pete Alonzi
stat6021,STAT 6021: Linear Models for Data Science,Jeffrey Woo,,stat6021,STAT 6021: Linear Models for Data Science,Jeffrey Woo,,stat6021,STAT 6021: Linear Models for Data Science,Jeffrey Woo
ds5100,DS 5100 Programming for Data Science,Judy Fox,,ds5100,DS 5100 Programming for Data Science,Nada Basit,,ds5100,DS 5100 Programming for Data Science,Judy Fox
cs5012,CS 5012: Foundations of Computer Science,Jeremy Bolton,,cs5012,CS 5012: Foundations of Computer Science,Jeremy Bolton,,cs5012,CS 5012: Foundations of Computer Science,Panagiotis Apostolellis
ds6030,DS 6030: Statistical Learning (prev SYS 6018: Data Mining),Bill Basener,,ds6030,DS 6030: Statistical Learning (prev SYS 6018: Data Mining),Peter Gedeck,,ds6030,DS 6030: Statistical Learning (prev SYS 6018: Data Mining),Mike Porter
ds_biz_analytics,DS 5559: New Course in Data Science: Business Analytics for Data Scientists,Marc Ruggiano,,ds5110,DS 5110: Big Data Systems (prev. DS 5559 Big Data Analytics),Adam Tashman,,ds5110,DS 5110: Big Data Systems (prev. DS 5559 Big Data Analytics),Adam Tashman
ds5110,DS 5110: Big Data Systems (prev. DS 5559 Big Data Analytics),Adam Tashman,,ds5001,DS 5001: Exploratory Text Analytics,Sree Mallikarjun,,ds5001,DS 5001: Exploratory Text Analytics,Sree Mallikarjun
ds5001,DS 5001: Exploratory Text Analytics,Sree Mallikarjun,,ds6001,DS 6001: Practice & Application,Raf Alvarado,,ds6001,DS 6001: Practice & Application,Jon Kropko
ds6001,DS 6001: Practice & Application,Eric Tassone,,ds6011,DS 6011: Capstone,Raf Alvarado & Teague Henry,,ds6011,DS 6011: Capstone,Jon Kropko
ds6011,DS 6011: Capstone,"Jeremy Bolton, Peter Gedeck, Eric Tassone, Abbas Kazemipour, Cait Dreisbach, Lei Xie",,ds6040,DS 6040: Bayesian Machine Learning,Teague Henry,,ds6040,DS 6040: Bayesian Machine Learning,Bill Basener
ds6040,DS 6040: Bayesian Machine Learning,Bill Basener,,ds6002,DS 6002: Ethics of Big Data,Renee Cummings,,ds6002,DS 6002: Ethics of Big Data 1,Luis Felipe Rosado Murillo
ds6002,DS 6002: Ethics of Big Data,Renee Cummings,,ds6050,DS 6050: Deep Learning,Rich Nguyen,,ds6050,DS 6050: Deep Learning,Rich Nguyen
ds6050,DS 6050: Deep Learning,Stephen Baek,,ds6013,Capstone Part 2,Jon Kropko,,ds6013,Capstone Part 2,Raf Alvarado
ds6013,Capstone Part 2,Raf Alvarado & Teague Henry,,ds6012,Ethics of Big Data 2,Renee Cummings,,ds6003,DS 6003 Practice & Application Pt 2,Jason Williamson
,,,,ds6003,DS 6003 Practice & Application Pt 2,Jason Williamson,,ds6012,DS 6012: Big Data Ethics Pt 2,Luis Felipe Rosado Murillo
,,,,,,,,sarc5400,Data Viz,Eric Field
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
